artista,genero,,
Starrah,Rap/Hip Hop,,
Fat Joe,Rap/Hip Hop,,
Bryson Tiller,Rap/Hip Hop,,
Giggs,Rap/Hip Hop,,
Zay Hilfigerrr,Rap/Hip Hop,,
Tyga,Rap/Hip Hop,,
JAY Z,Rap/Hip Hop,,
Chip,Rap/Hip Hop,,
Abra Cadabra,Rap/Hip Hop,,
Kanye West,Rap/Hip Hop,,
ScHoolboy Q,Rap/Hip Hop,,
The Game,Rap/Hip Hop,,
A$AP Rocky,Rap/Hip Hop,,
Skepta,Rap/Hip Hop,,
Eminem,Rap/Hip Hop,,
Wiz Khalifa,Rap/Hip Hop,,
Krept & Konan,Rap/Hip Hop,,
Skrillex,Rap/Hip Hop,,
Dr. Dre,Rap/Hip Hop,,
French Montana,Rap/Hip Hop,,
Lil Wayne,Rap/Hip Hop,,
Kano,Rap/Hip Hop,,
PARTYNEXTDOOR,Rap/Hip Hop,,
DMX,Rap/Hip Hop,,
The Notorious B.I.G.,Rap/Hip Hop,,
 Sad Ting,Rap/Hip Hop,,
Sinead Harnett,R&B,,
Joe Hertz,R&B,,
Nylo,R&B,,
Khalid,R&B,,
Aquilo,R&B,,
Xavier Omär,R&B,,
JAHKOY,R&B,,
Abhi//Dijon,R&B,,
Moods,R&B,,
Mura Masa,R&B,,
R.LUM.R,R&B,,
Daniel Caesar,R&B,,
Zuma,R&B,,
Opia,R&B,,
Sango,R&B,,
SaÍgo,R&B,,
MIKNNA,R&B,,
Couros,R&B,,
Tom Misch,R&B,,
Sofi de la Torre,R&B,,
Dana,R&B,,
Ella Mai,R&B,,
Connor Pearson,R&B,,
Toulouse,R&B,,
Kevin Garrett,R&B,,
Dessert,R&B,,
Mansa,R&B,,
THEY.,R&B,,
RAY BLK,R&B,,
SIBA,R&B,,
dvsn,R&B,,
Jeffrey James,R&B,,
Jarrod Milton,R&B,,
Ravyn Lenae,R&B,,
Yuna,R&B,,
Frost,R&B,,
FKJ,R&B,,
Beach Season,R&B,,
A.CHAL,R&B,,
Kiiara,R&B,,
Chris McClenney,R&B,,
Allan Rayman,R&B,,
Ta-ku,R&B,,
Noname,R&B,,
QUIÑ,R&B,,
St. Beauty,R&B,,
Kranium,R&B,,
Chris Brown,R&B,,
J-Soul,R&B,,
Cashmere Cat,R&B,,
Ramriddlz,R&B,,
Z,R&B,,
Ayo Jay,R&B,,
Roy Woods,R&B,,
Sean Paul,R&B,,
Rihanna,R&B,,
Aanysa,R&B,,
DJ Mustard,R&B,,
Ariana Grande,R&B,,
Trey Songz,R&B,,
Niykee Heaton,R&B,,
Jeremih,R&B,,
Tinashe,R&B,,
K. Forest,R&B,,
Seth Dyer,R&B,,
Post Malone,R&B,,
Bruno Mars,R&B,,
Wyclef Jean,R&B,,
Kehlani,R&B,,
David Correy,R&B,,
Childish Gambino,R&B,,
Keshia Chanté,R&B,,
Anders,R&B,,
S.L.M.N,R&B,,
Plaza,R&B,,
6LACK,R&B,,
VALNTN,R&B,,
Jhene Aiko,R&B,,
Saya,R&B,,
John Legend,R&B,,
Aaron Camper,R&B,,
Rojo,Gospel/Música Cristiana,,
Rescate,Gospel/Música Cristiana,,
Zona 7,Gospel/Música Cristiana,,
Benjamin Rivera,Gospel/Música Cristiana,,
Kyosko,Gospel/Música Cristiana,,
Pablo Olivares,Gospel/Música Cristiana,,
Christine D'Clario,Gospel/Música Cristiana,,
Pescao Vivo,Gospel/Música Cristiana,,
Hillsong United,Gospel/Música Cristiana,,
Strike 3,Gospel/Música Cristiana,,
Gerry Marquez,Gospel/Música Cristiana,,
Vertical,Gospel/Música Cristiana,,
Marco Barrientos,Gospel/Música Cristiana,,
David Scarpeta,Gospel/Música Cristiana,,
Metamorffosis,Gospel/Música Cristiana,,
Ingrid Rosario,Gospel/Música Cristiana,,
Cristo Para Las Naciones Band,Gospel/Música Cristiana,,
Santo Remedio,Gospel/Música Cristiana,,
Blest,Gospel/Música Cristiana,,
Renacer,Gospel/Música Cristiana,,
Su Presencia,Gospel/Música Cristiana,,
La voz del desierto,Gospel/Música Cristiana,,
Padre Jony,Gospel/Música Cristiana,,
Logos,Gospel/Música Cristiana,,
En Espíritu Y En Verdad,Gospel/Música Cristiana,,
Exegesis,Gospel/Música Cristiana,,
Micmas,Gospel/Música Cristiana,,
Rosa de Saron,Gospel/Música Cristiana,,
Banda Generasion,Gospel/Música Cristiana,,
Eclipse,Gospel/Música Cristiana,,
D-Mente,Gospel/Música Cristiana,,
Generación 12,Gospel/Música Cristiana,,
Identidad,Gospel/Música Cristiana,,
Revoluzion Estereo,Gospel/Música Cristiana,,
180 Grados,Gospel/Música Cristiana,,
Jesus Culture,Gospel/Música Cristiana,,
Hillsong Worship,Gospel/Música Cristiana,,
Casting Crowns,Gospel/Música Cristiana,,
Crowder,Gospel/Música Cristiana,,
000 Reasons (Bless the Lord) [feat. Matt Redman] [Live],Gospel/Música Cristiana,,
New Life Worship,Gospel/Música Cristiana,,
Elevation Worship,Gospel/Música Cristiana,,
Gungor,Gospel/Música Cristiana,,
Matt Maher,Gospel/Música Cristiana,,
Passion,Gospel/Música Cristiana,,
Kalley Heiligenthal,Gospel/Música Cristiana,,
Kristene Dimarco,Gospel/Música Cristiana,,
Jeremy Riddle,Gospel/Música Cristiana,,
Jenn Johnson,Gospel/Música Cristiana,,
Kari Jobe,Gospel/Música Cristiana,,
Matt Stinton,Gospel/Música Cristiana,,
Chris Tomlin,Gospel/Música Cristiana,,
All Sons & Daughters,Gospel/Música Cristiana,,
Bryan & Katie Torwalt,Gospel/Música Cristiana,,
Kim Walker-Smith,Gospel/Música Cristiana,,
Hillsong Chapel,Gospel/Música Cristiana,,
 We Love You (Live),Gospel/Música Cristiana,,
Christy Nockels,Gospel/Música Cristiana,,
Charlie Hall,Gospel/Música Cristiana,,
Jonathan David,Gospel/Música Cristiana,,
Desperation Band,Gospel/Música Cristiana,,
Bethel Music,Gospel/Música Cristiana,,
Michael W. Smith,Gospel/Música Cristiana,,
Big Daddy Weave,Gospel/Música Cristiana,,
Hillsong Young & Free,Gospel/Música Cristiana,,
Darlene Zschech,Gospel/Música Cristiana,,
Steffany Frizzell Gretzinger,Gospel/Música Cristiana,,
Amanda Cook,Gospel/Música Cristiana,,
David Hazeltine,Jazz,,
John Coltrane,Jazz,,
Esbjörn Svensson Trio,Jazz,,
Enrico Pieranunzi,Jazz,,
Eric Reed,Jazz,,
Grace Kelly,Jazz,,
Charles Mingus,Jazz,,
John Moulder,Jazz,,
The Hot Sardines,Jazz,,
 and You Were So Beautiful,Jazz,,
Stanley Turrentine,Jazz,,
Joey Alexander,Jazz,,
Bill Mobley,Jazz,,
Phil Woods,Jazz,,
Joshua Redman,Jazz,,
Mulgrew Miller,Jazz,,
Various Artists,Jazz,,
Miles Davis,Jazz,,
Wynton Marsalis,Jazz,,
Seamus Blake,Jazz,,
Scott Hamilton,Jazz,,
Marcus Gilmore,Jazz,,
Beegie Adair,Jazz,,
Bill Charlap,Jazz,,
McCoy Tyner,Jazz,,
Julian Dash,Jazz,,
Jan Lundgren Trio,Jazz,,
Kenny Garrett,Jazz,,
Lou Donaldson,Jazz,,
Tommy Flanagan,Jazz,,
Dan Cray Trio,Jazz,,
Ibrahim Maalouf,Jazz,,
Brad Mehldau Trio,Jazz,,
Marcus Roberts,Jazz,,
Bill Evans,Jazz,,
Roy Hargrove,Jazz,,
Bob Berg,Jazz,,
Joe Lovano,Jazz,,
Christian Scott,Jazz,,
Lee Morgan,Jazz,,
Jacky Terrasson,Jazz,,
Art Pepper,Jazz,,
Branford Marsalis,Jazz,,
Johnny Hodges,Jazz,,
Christian McBride,Jazz,,
Teddy Wilson,Jazz,,
Xavier Davis,Jazz,,
Oscar Peterson Trio,Jazz,,
Gene Ammons,Jazz,,
Anthony Wonsey Trio,Jazz,,
Stan Getz,Jazz,,
Ray Bryant,Jazz,,
Ben Webster,Jazz,,
Gary Smith,Jazz,,
Herbie Hancock,Jazz,,
Duke Ellington,Jazz,,
Quincy Jones,Jazz,,
Wes Montgomery,Jazz,,
Bill Evans Trio,Jazz,,
Dexter Gordon,Jazz,,
Bengt Hallberg,Jazz,,
Art Blakey & The Jazz Messengers,Jazz,,
Bobby Hutcherson,Jazz,,
Branford Marsalis Quartet,Jazz,,
Etta James,Jazz,,
Betty Carter,Jazz,,
Bert Kaempfert,Jazz,,
Coleman Hawkins,Jazz,,
Bud Powell,Jazz,,
Julie London,Jazz,,
Alfredo Rodriguez,Jazz,,
 My Dear,Jazz,,
Vince Guaraldi Trio,Jazz,,
Charlie Parker,Jazz,,
The Dave Brubeck Quartet,Jazz,,
Stacey Kent,Jazz,,
Cannonball Adderley,Jazz,,
Chet Baker,Jazz,,
Louis Armstrong,Jazz,,
Nancy Wilson,Jazz,,
Sonny Rollins,Jazz,,
Chris Botti,Jazz,,
Clifford Brown,Jazz,,
Kenny Wayne Shepherd,Blues,,
Philip Sayce Group,Blues,,
Henrik Freischlader Trio,Blues,,
Paulo Mendonca,Blues,,
Tony Spinner,Blues,,
Cry Of Love,Blues,,
Richie Kotzen,Blues,,
Bernard Allison,Blues,,
Simon McBride,Blues,,
Ana Popovic,Blues,,
Phat Phunktion,Blues,,
Henrik Freischlader,Blues,,
Anthony Gomes,Blues,,
Mike Zito,Blues,,
Shannon Curfman,Blues,,
Oli Brown,Blues,,
Gov't Mule,Blues,,
Jonny Lang,Blues,,
Alvin Youngblood Hart,Blues,,
Bryce Janey,Blues,,
Joanne Shaw Taylor,Blues,,
Edwin McCain,Blues,,
Gugun Power Trio,Blues,,
Saint Jude,Blues,,
Joe Bonamassa,Blues,,
Albert King,Blues,,
Muddy Waters,Blues,,
Howlin' Wolf,Blues,,
John Lee Hooker,Blues,,
B.B. King,Blues,,
Buddy Guy,Blues,,
Lightnin' Hopkins,Blues,,
Elmore James,Blues,,
Little Walter,Blues,,
Son House,Blues,,
Sonny Boy Williamson II,Blues,,
T-Bone Walker,Blues,,
Freddie King,Blues,,
Ray Charles,Blues,,
Willie Dixon,Blues,,
Otis Rush,Blues,,
Bo Diddley,Blues,,
Otis Spann,Blues,,
Bob Marley & The Wailers,Reggae,,
Third World,Reggae,,
Shinehead,Reggae,,
Peter Tosh,Reggae,,
 No,Reggae,,
Joss Stone,Reggae,,
Beenie Man,Reggae,,
Ziggy Marley,Reggae,,
Alborosie,Reggae,,
Gregory Isaacs,Reggae,,
UB40,Reggae,,
Toots & The Maytals,Reggae,,
Avicii,Reggae,,
Beres Hammond,Reggae,,
Ziggy Marley & The Melody Makers,Reggae,,
 Country Roads,Reggae,,
Shurwayne Winchester,Reggae,,
Kevin Michael feat. Wyclef Jean,Reggae,,
Black Uhuru,Reggae,,
Burning Spear,Reggae,,
Sizzla,Reggae,,
Grace Jones,Reggae,,
Laid Back,Reggae,,
Delroy Wilson,Reggae,,
Duane Stephenson,Reggae,,
Shaggy,Reggae, Leroy Sibbles, Freddie McGregor
Tanya Stephens,Reggae,,
Alpha Blondy,Reggae,,
Capleton,Reggae,,
Stephen Marley,Reggae,,
Jah Cure,Reggae,,
 I Love Your Way,Reggae,,
Junior Kelly,Reggae,,
10cc,Reggae,,
Matisyahu,Reggae,,
Max Romeo,Reggae,,
Damian Marley,Reggae,,
The Wailers,Reggae,,
Inner Circle,Reggae,,
Kevin Lyttle,Reggae,,
Apache Indian,Reggae,,
Gentleman,Reggae,,
John Holt,Reggae,,
Ini Kamoze,Reggae,,
Collie Buddz,Reggae,,
Rita Marley,Reggae,,
Junior Murvin,Reggae,,
 Stand Up,Reggae,,
 Jah Cure,Reggae,,
Yellowman,Reggae,,
Barrington Levy,Reggae,,
Wayne Wade,Reggae,,
Pato Banton,Reggae,,
Marcia Griffiths,Reggae,,
Chaka Demus & Pliers,Reggae,,
Pablo Moses,Reggae,,
Lionel Richie,Reggae,,
Anthony B,Reggae,,
Buju Banton,Reggae,,
Maxi Priest,Reggae,,
Culture,Reggae,,
Magic!,Reggae,,
U-Roy,Reggae,,
Jacob Miller,Reggae,,
Miike Snow,Reggae,,
Jimmy Cliff,Reggae,,
Rico,Reggae,,
Lutan Fyah,Reggae,,
Cultura Profética,Reggae,,
Mystical Fyah,Reggae,,
Fyahbwoy,Reggae,,
Dread Mar I,Reggae,,
Los Cafres,Reggae,,
Gondwana,Reggae,,
Raggabund,Reggae,,
Nonpalidece,Reggae,,
Fidel Nadal,Reggae,,
Kameleba,Reggae,,
Quique Neira,Reggae,,
Mad Division feat. Morodo & Keishal & Squid,Reggae,,
Laguna Pai,Reggae,,
Yerberos,Reggae,,
Manu Chao,Reggae,,
Alika,Reggae,,
Resistencia Suburbana,Reggae,,
Gomba Jahbari,Reggae,,
Bahiano,Reggae,,
Riddim,Reggae,,
Intoxicados,Reggae,,
El Natty Combo,Reggae,,
Lengualerta,Reggae,,
Movimiento Original,Reggae,,
 amarillo y rojo,Reggae,,
Cañaman,Reggae,,
Sumo,Reggae,,
Morodo,Reggae,,
Chulito Camacho,Reggae,,
Vicente Garcia,Reggae,,
Les Babacools,Reggae,,
B-Side Players,Reggae,,
Quinto Sol,Reggae,,
Big Mountain,Reggae,,
Kapanga,Reggae,,
Los Pericos,Reggae,,
King Chango,Reggae,,
Mad Professor,Reggae,,
Locos Por Juana,Reggae,,
Banda Sinaloense MS de Sergio Lizárraga,Banda,,
La Adictiva Banda San José de Mesillas,Banda,,
Crecer German,Banda,,
Banda Los Recoditos,Banda,,
La Septima Banda,Banda,,
Ulices Chaidez Y Sus Plebes,Banda,,
El Komander,Banda,,
Calibre 50,Banda,,
Julión Álvarez y su Norteño Banda,Banda,,
Los Plebes del Rancho de Ariel Camacho,Banda,,
Fidel Rueda,Banda,,
Alta Consigna,Banda,,
